n_lags,hidden_units,epochs,learning_rate,mse
12,60,400,0.006,2.6710030560644764
12,60,400,0.007,0.4777472389683393
12,60,400,0.008,4.046815312404071
12,60,400,0.009,1.747655308249775
12,60,400,0.01,2.785696766867496
12,60,500,0.001,2.17866016175619
12,60,500,0.002,1.117828817153779
12,60,500,0.003,1.9984017948812853
12,60,500,0.004,1.747115625733403
12,60,500,0.005,1.5231847864717054
12,60,500,0.006,1.2917407088729471
12,60,500,0.007,1.2608678996819098
12,60,500,0.008,2.0645633148360596
12,60,500,0.009,3.8585011876378132
12,60,500,0.01,2.324394056019625
12,70,200,0.001,4.924313944231878
12,70,200,0.002,1.4714699223777175
12,70,200,0.003,1.533096718863227
12,70,200,0.004,1.2721228833804406
12,70,200,0.005,2.5712500449827935
12,70,200,0.006,4.057150008409141
12,70,200,0.007,2.166067004985998
12,70,200,0.008,1.547235904842398
12,70,200,0.009,13.562669211322918
12,70,200,0.01,6.049331698459571
12,70,300,0.001,1.5351690090234542
12,70,300,0.002,1.7561490697770956
12,70,300,0.003,2.7020977015116046
12,70,300,0.004,3.568869740772797
12,70,300,0.005,4.096850567682734
12,70,300,0.006,0.9828664863026433
12,70,300,0.007,1.2478111225273691
12,70,300,0.008,2.1820467559839223
12,70,300,0.009,0.6552296758129651
12,70,300,0.01,1.314081006452237
12,70,400,0.001,3.0813651809862512
12,70,400,0.002,0.8227324939512249
12,70,400,0.003,1.7136759356817262
12,70,400,0.004,1.60620391660784
12,70,400,0.005,2.59168547642307
12,70,400,0.006,3.331565905500648
12,70,400,0.007,0.8563668317819325
12,70,400,0.008,0.8182215288370976
12,70,400,0.009,3.1443868260953773
12,70,400,0.01,1.593138372555864
12,70,500,0.001,1.5302850011056688
12,70,500,0.002,0.9542717123673441
12,70,500,0.003,1.363343179278786
12,70,500,0.004,4.31422725602178
12,70,500,0.005,1.5925895971188324
12,70,500,0.006,1.5816957277156092
12,70,500,0.007,2.0642638801628004
12,70,500,0.008,2.1260202454587973
12,70,500,0.009,1.0515322460909193
12,70,500,0.01,1.9720766689972025
12,80,200,0.001,0.652580153052805
12,80,200,0.002,1.0882125993980651
12,80,200,0.003,1.44685626268438
12,80,200,0.004,1.1974300777860207
12,80,200,0.005,2.278714336085561
12,80,200,0.006,3.4043200144743686
12,80,200,0.007,2.591571215539978
12,80,200,0.008,0.19148088993741802
12,80,200,0.009,2.194183986027191
12,80,200,0.01,1.4051954094547126
12,80,300,0.001,3.668538198377957
12,80,300,0.002,2.4643150563865275
12,80,300,0.003,1.5334858047098867
12,80,300,0.004,2.0939587430718767
12,80,300,0.005,1.3232617156085862
12,80,300,0.006,1.720043086992135
12,80,300,0.007,1.5743533643777845
12,80,300,0.008,5.159588587915411
12,80,300,0.009,2.6623082953903734
12,80,300,0.01,0.6559879943800381
12,80,400,0.001,1.6824157971731506
12,80,400,0.002,2.666257296013157
12,80,400,0.003,1.1422621078514597
12,80,400,0.004,3.803694111237507
12,80,400,0.005,1.0448947050512811
12,80,400,0.006,1.045570661278871
12,80,400,0.007,1.1383826950450664
12,80,400,0.008,2.201486737378003
12,80,400,0.009,2.441070317546533
12,80,400,0.01,1.5914131331553034
12,80,500,0.001,1.1498270512681912
12,80,500,0.002,2.3468354199505184
12,80,500,0.003,1.3959867386808278
12,80,500,0.004,1.2884773134760539
12,80,500,0.005,1.1499657047785703
12,80,500,0.006,2.006127847212757
12,80,500,0.007,4.742592583351186
12,80,500,0.008,1.224527141592444
12,80,500,0.009,37.53145199016182
12,80,500,0.01,0.26499456637272867
12,90,200,0.001,2.168480052912353
12,90,200,0.002,2.2889788800911326
12,90,200,0.003,1.818282937433212
12,90,200,0.004,2.1128824955709926
12,90,200,0.005,1.8829500203347158
12,90,200,0.006,0.9064568075100228
12,90,200,0.007,3.439861353806772
12,90,200,0.008,2.919637153952369
12,90,200,0.009,0.23803408200101273
12,90,200,0.01,1.30725544313096
12,90,300,0.001,0.7934213903563925
12,90,300,0.002,2.918547785532516
12,90,300,0.003,3.475881421456951
12,90,300,0.004,1.787096211736573
12,90,300,0.005,0.6386661988386231
12,90,300,0.006,3.847878369559274
12,90,300,0.007,0.41861870192431055
12,90,300,0.008,2.0028507181999773
12,90,300,0.009,2.267327052779121
12,90,300,0.01,1.1720978322275633
12,90,400,0.001,5.39069164519678
12,90,400,0.002,1.4513711323664822
12,90,400,0.003,1.2453776581885416
12,90,400,0.004,1.8895028705551624
12,90,400,0.005,2.559582476460262
12,90,400,0.006,3.0631097939431013
12,90,400,0.007,3.5655951480801917
12,90,400,0.008,1.697612098316874
12,90,400,0.009,1.9764708711931582
