n_lags,hidden_units,epochs,learning_rate,mse
12,70,300,0.004,0.32712595468733197
12,70,300,0.005,1.152132623349337
12,70,300,0.006,0.35740528404418564
12,70,300,0.007,0.2094893805619243
12,70,300,0.008,0.45013823263640323
12,70,300,0.009,0.24716327553679293
12,70,300,0.01,0.2678639943309254
12,70,400,0.001,3.8626653271389197
12,70,400,0.002,0.6885534705844937
12,70,400,0.003,0.5033922203043202
12,70,400,0.004,0.7830878537868153
12,70,400,0.005,0.7160197916698783
12,70,400,0.006,0.22768397280934644
12,70,400,0.007,0.2806788541300796
12,70,400,0.008,0.30147412784110816
12,70,400,0.009,0.8308015686316438
12,70,400,0.01,0.7863417865992569
12,70,500,0.001,7.947699536329509
12,70,500,0.002,0.49854522901490683
12,70,500,0.003,1.1337767263297975
12,70,500,0.004,0.5579360645532588
12,70,500,0.005,0.2795267084192557
12,70,500,0.006,0.5824015032679114
12,70,500,0.007,0.5567333762361837
12,70,500,0.008,0.20129949219389964
12,70,500,0.009,0.17423037022386784
12,70,500,0.01,0.4475655256858852
12,80,200,0.001,1.6896041964611914
12,80,200,0.002,0.6349742408457445
12,80,200,0.003,1.086855150878629
12,80,200,0.004,0.4893708610594192
12,80,200,0.005,0.7386794261528358
12,80,200,0.006,0.17348677046633387
12,80,200,0.007,0.35881743060076543
12,80,200,0.008,0.23183378997022633
12,80,200,0.009,0.37133870716289685
12,80,200,0.01,0.20380289523635203
12,80,300,0.001,4.0545658736734715
12,80,300,0.002,1.1275675413546882
12,80,300,0.003,0.29869490060292125
12,80,300,0.004,0.2567591706448282
12,80,300,0.005,0.32004075456507836
12,80,300,0.006,0.4921401815782945
12,80,300,0.007,0.4977734306108742
12,80,300,0.008,1.7775521776876573
12,80,300,0.009,0.38298562783009976
12,80,300,0.01,0.43222533285385645
12,80,400,0.001,2.9736024654534408
12,80,400,0.002,0.6044783688443242
12,80,400,0.003,0.3611192026684643
12,80,400,0.004,0.3372124059401912
12,80,400,0.005,1.4184968234630377
12,80,400,0.006,1.7682459972641502
12,80,400,0.007,0.362158767760491
12,80,400,0.008,0.29246346188006017
12,80,400,0.009,0.7730915924727213
12,80,400,0.01,0.5653950485837423
12,80,500,0.001,2.6487476731815773
12,80,500,0.002,1.0261995905192232
12,80,500,0.003,0.43140247147678124
12,80,500,0.004,0.28457547248879783
12,80,500,0.005,1.0529889635943317
12,80,500,0.006,0.3847126766871646
12,80,500,0.007,0.3486711430780248
12,80,500,0.008,0.18505073815800954
12,80,500,0.009,0.5427215668656131
12,80,500,0.01,1.835345676528451
12,90,200,0.001,1.0632571399391244
12,90,200,0.002,0.5763392344470478
12,90,200,0.003,0.6318651589922523
12,90,200,0.004,0.9674531319319738
12,90,200,0.005,0.31440734841269263
12,90,200,0.006,0.5235452814792954
12,90,200,0.007,0.5061925657415957
12,90,200,0.008,1.3097970682710676
12,90,200,0.009,0.2537054474103427
12,90,200,0.01,0.847815285254373
12,90,300,0.001,2.6146182590437115
12,90,300,0.002,0.4650133154586713
12,90,300,0.003,0.4261218312524345
12,90,300,0.004,0.3829275347215922
12,90,300,0.005,0.2705072145331924
12,90,300,0.006,0.6504982522702537
12,90,300,0.007,0.7475080598542243
12,90,300,0.008,0.2601338068203192
12,90,300,0.009,0.326904668485481
12,90,300,0.01,0.18625190919406137
12,90,400,0.001,3.4944635723522963
12,90,400,0.002,1.1881021688533036
12,90,400,0.003,0.3313315624578501
12,90,400,0.004,1.0721116430391222
12,90,400,0.005,0.2810054330492472
12,90,400,0.006,0.37579372740833045
12,90,400,0.007,0.27858010592226934
12,90,400,0.008,0.3671918687873279
12,90,400,0.009,0.3287531278848326
12,90,400,0.01,0.32534403027782205
12,90,500,0.001,2.803937884516902
12,90,500,0.002,0.5418775694854463
12,90,500,0.003,0.5547349223648707
12,90,500,0.004,0.8389261217959763
12,90,500,0.005,0.3584311157689377
12,90,500,0.006,0.4871407867648505
12,90,500,0.007,1.0775574772639533
12,90,500,0.008,1.8372976398646559
12,90,500,0.009,0.18708377814741164
12,90,500,0.01,0.41632490589150106
12,100,200,0.001,3.8059030061713046
12,100,200,0.002,0.7752581051480629
12,100,200,0.003,0.41150811748257654
12,100,200,0.004,0.853712992785121
12,100,200,0.005,0.5431453572600519
12,100,200,0.006,0.20063995944580332
12,100,200,0.007,0.22482584962565633
12,100,200,0.008,0.40594452698154626
12,100,200,0.009,0.7568578265308861
12,100,200,0.01,0.7076645618042652
12,100,300,0.001,1.869898136116504
12,100,300,0.002,0.6558894458778791
12,100,300,0.003,0.6434103388691294
12,100,300,0.004,0.3400434707788081
12,100,300,0.005,0.45328670021134976
12,100,300,0.006,0.18992498891007198
12,100,300,0.007,1.3532781368586768
12,100,300,0.008,0.285490190169591
12,100,300,0.009,0.3578509965852073
12,100,300,0.01,0.8056279948865762
12,100,400,0.001,4.778851080536641
12,100,400,0.002,0.8576924782789384
12,100,400,0.003,0.5257703074755196
12,100,400,0.004,0.6720286370110302
12,100,400,0.005,1.5172482225447286
12,100,400,0.006,0.35215205257418103
12,100,400,0.007,0.637092965358856
12,100,400,0.008,0.2087770684129074
12,100,400,0.009,2.6905078204717956
12,100,400,0.01,0.21257732831513498
12,100,500,0.001,2.15481419060648
12,100,500,0.002,1.2733455021361808
12,100,500,0.003,0.8751507211902775
12,100,500,0.004,0.8553325919593573
12,100,500,0.005,0.20209183830968605
12,100,500,0.006,0.3728141770910139
12,100,500,0.007,0.2838024549898853
12,100,500,0.008,0.1714644396585657
12,100,500,0.009,1.0186681237211217
12,100,500,0.01,0.6716573377775097
