n_lags,hidden_units,epochs,learning_rate,mse
12,60,500,0.001,0.5372765183893822
12,60,500,0.002,0.3924059909511987
12,60,500,0.003,0.6300659815846621
12,60,500,0.004,0.25080511740569134
12,60,500,0.005,0.436701086947035
12,60,500,0.006,0.41943682931327503
12,60,500,0.007,0.4013106686967666
12,60,500,0.008,0.4016246960570954
12,60,500,0.009,0.5742891973081301
12,60,500,0.01,0.38268753920387844
12,70,200,0.001,0.44407115034598416
12,70,200,0.002,0.4345113520828258
12,70,200,0.003,0.4755185814356897
12,70,200,0.004,0.43886204368224746
12,70,200,0.005,0.43097950292695975
12,70,200,0.006,0.5051673230199821
12,70,200,0.007,0.3877854629495933
12,70,200,0.008,0.4107641762253858
12,70,200,0.009,0.6136050900572032
12,70,200,0.01,0.39207344180999865
12,70,300,0.001,0.24647598866095227
12,70,300,0.002,0.2733359093484255
12,70,300,0.003,0.4273820190684115
12,70,300,0.004,0.4237015805903711
12,70,300,0.005,0.4215443022449304
12,70,300,0.006,0.4115489945449197
12,70,300,0.007,0.47717934927897415
12,70,300,0.008,0.6156625332841904
12,70,300,0.009,0.4050230062345971
12,70,300,0.01,0.37515736525928295
12,70,400,0.001,0.5485077186727805
12,70,400,0.002,0.3833025318058098
12,70,400,0.003,0.4326404665019716
12,70,400,0.004,0.4233877130822159
12,70,400,0.005,0.42976101604901684
12,70,400,0.006,0.381414827417314
12,70,400,0.007,0.28007145741777756
12,70,400,0.008,0.6029654931608299
12,70,400,0.009,0.4242200095667814
12,70,400,0.01,0.35764539223910735
12,70,500,0.001,0.41733898523126517
12,70,500,0.002,0.43361021104511427
12,70,500,0.003,0.4292877469410289
12,70,500,0.004,0.4382734103597765
12,70,500,0.005,0.40062350880630015
12,70,500,0.006,0.43460647608120295
12,70,500,0.007,0.3951768418486118
12,70,500,0.008,0.4168607654786722
12,70,500,0.009,0.3974016206946741
12,70,500,0.01,0.38347534272550876
12,80,200,0.001,0.4100329841583633
12,80,200,0.002,0.4393003490284853
12,80,200,0.003,0.4360508281574315
12,80,200,0.004,0.47723703649228694
12,80,200,0.005,0.43686910436150306
12,80,200,0.006,0.4408784738532205
12,80,200,0.007,0.48943721930593354
12,80,200,0.008,0.4053187282766178
12,80,200,0.009,0.3837169830146944
12,80,200,0.01,0.41798889087099356
12,80,300,0.001,0.4908321782761721
12,80,300,0.002,0.42166653813171306
12,80,300,0.003,0.42754924290888435
12,80,300,0.004,0.4297751317791359
12,80,300,0.005,0.5535089810361573
12,80,300,0.006,0.4279433261282815
12,80,300,0.007,0.3963440793776937
12,80,300,0.008,0.3885412966081398
12,80,300,0.009,0.5999995262808254
12,80,300,0.01,0.665885209942872
12,80,400,0.001,0.574697267752585
12,80,400,0.002,0.4200618050597332
12,80,400,0.003,0.43483177689054114
12,80,400,0.004,0.43369277018329877
12,80,400,0.005,0.3852119513381061
12,80,400,0.006,0.38547024201917457
12,80,400,0.007,0.6312137492261645
12,80,400,0.008,0.3828993161825286
12,80,400,0.009,0.6266715959390322
12,80,400,0.01,0.3821294088745394
12,80,500,0.001,0.2331611792610956
12,80,500,0.002,0.28320282103280897
12,80,500,0.003,0.4348657738419585
12,80,500,0.004,0.45020796668216095
12,80,500,0.005,0.49066921702653804
12,80,500,0.006,0.40007459670532225
12,80,500,0.007,0.5912897897656479
12,80,500,0.008,0.3799041449748078
12,80,500,0.009,0.401367581130758
12,80,500,0.01,0.3742949785396622
12,90,200,0.001,0.4102685370189221
12,90,200,0.002,0.4213058755629067
12,90,200,0.003,0.4332689742095841
12,90,200,0.004,0.42635102747856246
12,90,200,0.005,0.41268650936574425
12,90,200,0.006,0.38763295007744547
12,90,200,0.007,0.38595051850471374
12,90,200,0.008,0.7022481449930721
12,90,200,0.009,0.38365656877804055
12,90,200,0.01,0.4054205903274097
12,90,300,0.001,0.3057832337993456
12,90,300,0.002,0.49335462060284746
12,90,300,0.003,0.47020724399161046
12,90,300,0.004,0.43309536927439796
12,90,300,0.005,0.4085713012003812
12,90,300,0.006,0.39201262692062716
12,90,300,0.007,0.39437171482695044
12,90,300,0.008,0.38392211078697336
12,90,300,0.009,0.6162446597611919
12,90,300,0.01,0.39796610408719973
12,90,400,0.001,0.39089832250756884
12,90,400,0.002,0.4365509655574154
12,90,400,0.003,0.3984494643539934
12,90,400,0.004,0.4481925474359245
12,90,400,0.005,0.412605244829387
12,90,400,0.006,0.35056340470193387
12,90,400,0.007,0.4060427519317513
12,90,400,0.008,0.5801317549049756
12,90,400,0.009,0.4078005800723046
12,90,400,0.01,0.43445595761481154
12,90,500,0.001,0.4814529897449242
12,90,500,0.002,0.4231221828305814
12,90,500,0.003,0.4332932400587506
12,90,500,0.004,0.4671916910616671
12,90,500,0.005,0.41722569112659924
12,90,500,0.006,0.4110223775777482
12,90,500,0.007,0.5188205087484041
12,90,500,0.008,0.3687901660835157
12,90,500,0.009,0.649982930665376
12,90,500,0.01,0.5411568102192902
12,100,200,0.001,0.5170251359759077
12,100,200,0.002,0.47676487313986526
12,100,200,0.003,0.4198550877040425
12,100,200,0.004,0.2888038764965283
12,100,200,0.005,0.38414725746116213
12,100,200,0.006,0.5867296001926067
12,100,200,0.007,0.42453390972520133
12,100,200,0.008,0.3765866792201805
12,100,200,0.009,0.2684981851000962
12,100,200,0.01,0.4337357227620828
12,100,300,0.001,0.6949326957456183
12,100,300,0.002,0.4383175049830954
12,100,300,0.003,0.44765685889718065
12,100,300,0.004,0.4039950418021851
12,100,300,0.005,0.44871202601771504
12,100,300,0.006,0.3665249839060745
12,100,300,0.007,0.6613860930234204
12,100,300,0.008,0.6192493137353329
12,100,300,0.009,0.3864787105541504
12,100,300,0.01,0.3811254970984073
12,100,400,0.001,0.5171320566146049
12,100,400,0.002,0.4013358335406291
12,100,400,0.003,0.40809762780436204
12,100,400,0.004,0.4039013484850843
12,100,400,0.005,0.42135699659180775
12,100,400,0.006,0.39035005081317814
12,100,400,0.007,0.3691024255695241
12,100,400,0.008,0.374220395319065
12,100,400,0.009,0.38049234346678334
12,100,400,0.01,0.6563378482445589
12,100,500,0.001,0.4380885622602294
12,100,500,0.002,0.5059046443699728
12,100,500,0.003,0.31919111405970146
12,100,500,0.004,0.3901499652648028
12,100,500,0.005,0.40046556559466734
12,100,500,0.006,0.39089704980943596
12,100,500,0.007,0.38992470136655677
12,100,500,0.008,0.5645146180058871
12,100,500,0.009,0.38804079317752305
12,100,500,0.01,0.39697534902665566
16,50,200,0.001,0.1840120845870493
16,50,200,0.002,0.2267691086208154
16,50,200,0.003,0.2284297020190602
16,50,200,0.004,0.21767574226761302
16,50,200,0.005,0.22772584594898218
16,50,200,0.006,0.23747670648617392
16,50,200,0.007,0.23154058807391587
16,50,200,0.008,0.20281336492432706
16,50,200,0.009,0.27564027688689796
16,50,200,0.01,0.2143390747063142
16,50,300,0.001,0.2371551566911736
16,50,300,0.002,0.24213055825977625
16,50,300,0.003,0.24856371624104023
16,50,300,0.004,0.23500757673664074
16,50,300,0.005,0.2282852918819025
16,50,300,0.006,0.24032713402229564
