date;inflation
1976m3;278.20
1976m4;250.40
1976m5;231.90
1976m6;211.30
1976m7;210.10
1976m8;200.30
1976m9;195.80
1976m10;191.20
1976m11;179.50
1976m12;174.30
1977m1;163.00
1977m2;152.90
1977m3;136.30
1977m4;121.10
1977m5;109.00
1977m6;92.30
1977m7;83.50
1977m8;79.90
1977m9;73.40
1977m10;69.30
1977m11;66.70
1977m12;63.50
1978m1;57.20
1978m2;52.10
1978m3;47.50
1978m4;44.60
1978m5;42.20
1978m6;40.40
1978m7;38.50
1978m8;37.70
1978m9;36.60
1978m10;33.50
1978m11;32.40
1978m12;30.30
1979m1;30.80
1979m2;29.80
1979m3;29.70
1979m4;29.70
1979m5;30.20
1979m6;30.80
1979m7;32.20
1979m8;34.70
1979m9;36.10
1979m10;36.80
1979m11;37.90
1979m12;38.90
1980m1;38.80
1980m2;39.00
1980m3;39.20
1980m4;39.10
1980m5;38.90
1980m6;38.10
1980m7;35.90
1980m8;32.70
1980m9;30.40
1980m10;31.00
1980m11;31.60
1980m12;31.20
1981m1;30.60
1981m2;28.60
1981m3;26.00
1981m4;24.40
1981m5;23.20
1981m6;21.00
1981m7;19.30
1981m8;18.10
1981m9;16.80
1981m10;13.80
1981m11;11.10
1981m12;9.50
1982m1;8.50
1982m2;7.30
1982m3;7.00
1982m4;5.60
1982m5;3.70
1982m6;4.20
1982m7;5.70
1982m8;7.80
1982m9;11.30
1982m10;16.30
1982m11;20.00
1982m12;20.70
1983m1;22.00
1983m2;23.10
1983m3;24.90
1983m4;28.70
1983m5;31.20
1983m6;32.30
1983m7;32.30
1983m8;31.60
1983m9;29.10
1983m10;26.20
1983m11;23.70
1983m12;23.10
1984m1;21.10
1984m2;20.70
1984m3;21.50
1984m4;19.70
1984m5;19.50
1984m6;19.20
1984m7;18.00
1984m8;15.20
1984m9;15.80
1984m10;22.40
1984m11;22.20
1984m12;23.00
1985m1;26.80
1985m2;29.60
1985m3;29.90
1985m4;30.90
1985m5;32.00
